"SNPs","Fst","Dif"
"loc1544_pos84",0.131103029503763,TRUE
"loc1548_pos36",0.195438047865049,TRUE
"loc1520_pos114",0.168932473851181,TRUE
"loc975_pos13",0.105271327844234,TRUE
"loc1479_pos25",0.134712398407007,TRUE
"loc1479_pos27",0.180560614460092,TRUE
"loc1237_pos66",0.207189168510186,TRUE
"loc1302_pos23",0.172919622478564,TRUE
"loc756_pos43",0.142344310909942,TRUE
"loc1414_pos87",0.105344216848915,TRUE
"loc771_pos122",0.129123449096694,TRUE
"loc891_pos102",0.150164806266885,TRUE
"loc637_pos41",0.11948619600774,TRUE
"loc1433_pos20",0.148882616777246,TRUE
"loc1433_pos79",0.148882616777246,TRUE
"loc1171_pos126",0.11307747527906,TRUE
"loc480_pos25",0.107128609196936,TRUE
"loc480_pos26",0.107128609196936,TRUE
"loc208_pos124",0.105344216848915,TRUE
"loc909_pos119",0.148731372594489,TRUE
"loc1181_pos125",0.106683110705199,TRUE
"loc647_pos115",0.105344216848915,TRUE
"loc656_pos101",0.116813324952859,TRUE
"loc1192_pos113",0.205001336615033,TRUE
"loc1192_pos123",0.205001336615033,TRUE
"loc809_pos84",0.0991827697086202,TRUE
"loc809_pos115",0.130671222171531,TRUE
"loc242_pos92",0.172919622478564,TRUE
"loc1363_pos107",0.107461761383946,TRUE
"loc940_pos128",0.105344216848915,TRUE
"loc1294_pos46",0.123720930232559,TRUE
"loc949_pos99",0.115622621415995,TRUE
"loc259_pos63",0.116591109811252,TRUE
"loc260_pos63",0.116591109811252,TRUE
"loc126_pos84",0.188724263023225,TRUE
"loc127_pos199",0.224574993424188,TRUE
"loc686_pos75",0.132893387465933,TRUE
"loc686_pos77",0.132893387465933,TRUE
"loc686_pos121",0.132893387465933,TRUE
"loc1070_pos117",0.113177283608279,TRUE
"loc1070_pos125",0.105344216848915,TRUE
"loc960_pos77",0.0991827697086202,TRUE
"loc1381_pos44",0.116813324952859,TRUE
"loc691_pos26",0.0992570175339256,TRUE
"loc691_pos33",0.0992570175339256,TRUE
"loc691_pos37",0.0992570175339256,TRUE
"loc691_pos106",0.0992570175339256,TRUE
"loc279_pos18",0.101954869851586,TRUE
"loc152_pos130",0.103196180751667,TRUE
"loc857_pos61",0.101954869851586,TRUE
"loc859_pos114",0.142344310909942,TRUE
"loc698_pos127",0.0991827697086201,TRUE
"loc371_pos60",0.138526278450683,TRUE
"loc435_pos53",0.11307747527906,TRUE
