"SNPs","Fst","Dif"
"loc1608_pos81",0.125435839356612,TRUE
"loc1569_pos7",0.123224690091807,TRUE
"loc1552_pos13",0.0870879851143009,TRUE
"loc1544_pos84",0.129158435462368,TRUE
"loc1548_pos36",0.267194694491751,TRUE
"loc1520_pos114",0.10389553738836,TRUE
"loc1483_pos35",0.0852781303909127,TRUE
"loc1479_pos25",0.153952498204576,TRUE
"loc1479_pos27",0.197845021210572,TRUE
"loc1233_pos124",0.110995444026297,TRUE
"loc738_pos28",0.092962420358519,TRUE
"loc738_pos80",0.092962420358519,TRUE
"loc738_pos117",0.092962420358519,TRUE
"loc738_pos211",0.092962420358519,TRUE
"loc1237_pos66",0.142407300302037,TRUE
"loc1302_pos23",0.14519056261343,TRUE
"loc756_pos43",0.0941952195926051,TRUE
"loc1421_pos116",0.0876126187471437,TRUE
"loc771_pos122",0.104488945398036,TRUE
"loc891_pos102",0.158382066276803,TRUE
"loc637_pos41",0.118375008327162,TRUE
"loc1161_pos15",0.0886868748010967,TRUE
"loc1433_pos20",0.111879446089973,TRUE
"loc1433_pos79",0.111879446089973,TRUE
"loc909_pos119",0.08767577554642,TRUE
"loc217_pos65",0.0941952195926051,TRUE
"loc1181_pos125",0.0954788067145339,TRUE
"loc647_pos76",0.155382317163142,TRUE
"loc648_pos33",0.0960593899424705,TRUE
"loc656_pos101",0.106685633001423,TRUE
"loc658_pos57",0.0975927261075055,TRUE
"loc1192_pos113",0.150280589773483,TRUE
"loc1192_pos123",0.150280589773483,TRUE
"loc242_pos92",0.14519056261343,TRUE
"loc126_pos84",0.159731644806271,TRUE
"loc127_pos199",0.196470048074326,TRUE
"loc956_pos8",0.0941952195926051,TRUE
"loc956_pos42",0.0941952195926051,TRUE
"loc686_pos75",0.116471895993427,TRUE
"loc686_pos77",0.116471895993427,TRUE
"loc686_pos121",0.116471895993427,TRUE
"loc265_pos109",0.0895847769894955,TRUE
"loc265_pos121",0.0895847769894955,TRUE
"loc1381_pos44",0.106685633001423,TRUE
"loc279_pos18",0.0967252387966231,TRUE
"loc859_pos114",0.0941952195926051,TRUE
"loc302_pos42",0.109775902005983,TRUE
"loc1101_pos117",0.08767577554642,TRUE
"loc322_pos34",0.0936453269023821,TRUE
"loc322_pos53",0.0936453269023821,TRUE
"loc322_pos89",0.0936453269023821,TRUE
"loc322_pos109",0.0936453269023821,TRUE
"loc721_pos20",0.0960278742012486,TRUE
"loc721_pos45",0.0960278742012486,TRUE
"loc405_pos37",0.119746782285482,TRUE
